Vertebrado,Clasificacion,Locomocion1,Locomocion2,Locomocion3,Animal,Tamano,Dieta,Reproduccion,Patas,Piel,Domestico,Mitologico,Caracteristica,Caracteristica2,Caracteristica3,Caracteristica4,Caracteristica5
1,Mamifero,Volador,None,None,Murcielago,Pequeno,Omnivoro,Viviparo,2,Pelaje,0,0,Nocturno,Roedor,None,None,None
1,Mamifero,Acuatico,Terrestre,None,Foca,Grande,Carnivoro,Viviparo,0,Pelaje,0,0,Aplaude,None,None,None,None
1,Mamifero,Acuatico,None,None,Manati,Grande,Herviboro,Viviparo,0,Piel desnuda,0,0,Gris,None,None,None,None
1,Mamifero,Acuatico,None,None,Delfin,Mediano,Carnivoro,Viviparo,0,Piel desnuda,0,0,Inteligencia,None,None,None,None
1,Mamifero,Acuatico,Terrestre,None,Castor,Pequeno,Herviboro,Viviparo,4,Pelaje,0,0,Construye,Rio,None,None,None
1,Mamifero,Acuatico,Terrestre,None,Nutria,Pequeno,Omnivoro,Viviparo,4,Pelaje,0,0,Rio,Cafe,None,None,None
1,Mamifero,Acuatico,Terrestre,None,Ornitorrinco,Pequeno,Omnivoro,Ovoviviparo,4,Pelaje,0,0,Pico,Rio,None,None,None
1,Ave,Terrestre,None,None,Avestruz,Grande,Omnivoro,Oviparo,2,Plumas,0,0,Cuello,None,None,None,None
1,Ave,Acuatico,Volador,Terrestre,Flamenco,Grande,Omnivoro,Oviparo,2,Plumas,0,0,Rosado,Cuello,None,None,None
1,Ave,Acuatico,Terrestre,None,Pinguino Emperador,Grande,Carnivoro,Oviparo,2,Plumas,0,0,Smokin,Artico,None,None,None
1,Ave,Acuatico,Terrestre,None,Pinguino,Mediano,Carnivoro,Oviparo,2,Plumas,0,0,Smokin,Artico,None,None,None
1,Ave,Acuatico,Volador,Terrestre,Ganso,Mediano,Omnivoro,Oviparo,2,Plumas,0,0,Grazna,Cuello,None,None,None
1,Ave,Terrestre,None,None,Pavo Real,Mediano,Omnivoro,Oviparo,2,Plumas,0,0,Colorido,None,None,None,None
1,Ave,Terrestre,None,None,Gallina,Pequeno,Omnivoro,Oviparo,2,Plumas,1,0,Granja,None,None,None,None
1,Ave,Volador,None,None,Aguila,Grande,Carnivoro,Oviparo,2,Plumas,0,0,Vision,None,None,None,None
1,Ave,Volador,None,None,Halcon,Grande,Carnivoro,Oviparo,2,Plumas,0,0,Velocidad,None,None,None,None
